TOTAL_117430,Onions and shallots (Total),exempt
TOTAL_117490,"Other vegetable, mixtures of vegetables (Total)",exempt
TOTAL_117412,Turnips (Singkamas) (Total),exempt
TOTAL_117440,Leeks and other alliaceous vegetables (Total),exempt
TOTAL_117452,Truffles (Total),exempt
TOTAL_117460,Edible seaweeds and other aquatic plants (Total),exempt
TOTAL_117470,Olives (Total),exempt
TOTAL_117480,Young corn (Total),exempt
TOTAL_117451,Mushrooms (Total),exempt
TOTAL_117491,Radish (Labanos) (Total),exempt
TOTAL_117510,Potatoes (Total),exempt
TOTAL_117520,Sweet potatoes (Total),exempt
TOTAL_117530,"Cassava (manioc, yuca) (Total)",exempt
TOTAL_117590,Other tubers (Total),exempt
TOTAL_117540,Yams (Ube) (Total),exempt
TOTAL_117550,Taro (Gabi) (Total),exempt
TOTAL_117591,Tugui/Tuge (Total),exempt
TOTAL_117610,"Beans (kidney beans (bitsuwelas),patani, etc.), dried (Total)",exempt
TOTAL_117691,"Munggo beans, dried (Total)",exempt
TOTAL_117690,"Other beans and peas, dried (Total)",exempt
TOTAL_117640,"Lentils, dried (Total)",exempt
TOTAL_117660,"Cow peas, dried (Total)",exempt
TOTAL_117670,"Pigeon peas, dried (Total)",exempt
TOTAL_117680,"Bambara beans, dried (Total)",exempt
TOTAL_117650,"Peas, dried (Total)",exempt
TOTAL_117700,"Other vegetables and tubers, dried and dehydrated (soya beans, potatoes, etc.) (Total)",vatable
TOTAL_117800,"Vegetables and tubers, frozen (fruit-bearing vegetables, etc.) (Total)",vatable
TOTAL_117942,"French fries, potato wedges, frozen (Total)",vatable
TOTAL_117943,Potato chips and fries (Total),vatable
TOTAL_117950,"Soy curd (tofu, tokwa, etc.) (Total)",vatable
TOTAL_117971,Cassava cake (Total),vatable
TOTAL_117972,Haleya (Total),vatable
TOTAL_117973,"Sweet potato (camote), preserved or processed (Total)",vatable
TOTAL_117992,Pickled vegetables (Total),vatable
TOTAL_117990,"Other vegetables, beans and peas and tubers, preserved or processed (Total)",vatable
TOTAL_117911,Cassava flour (Total),vatable
TOTAL_117920,Canned vegetables (Total),vatable
TOTAL_117930,Preserved olives (Total),vatable
TOTAL_117960,"Tempeh, soy meat and burgers (Total)",vatable
TOTAL_117974,"Cassava/Manioc except cassava cake, preserved or processed (Total)",vatable
TOTAL_117975,"Yam (ube) except haleya, preserved or processed (Total)",vatable
TOTAL_117976,"Taro (gabi), preserved or processed (Total)",vatable
TOTAL_117944,Potato starch (Total),vatable
TOTAL_118111,White sugar (Total),vatable
TOTAL_118112,Washed sugar (Total),vatable
TOTAL_118113,Brown sugar (Total),vatable
TOTAL_118114,Muscovado (Total),vatable
TOTAL_118119,"Other cane sugar, n.e.c. (Total)",vatable
TOTAL_118200,"Other sugar and sugar substitutes (panocha, etc.) (Total)",vatable
TOTAL_118310,Honey (Total),vatable
TOTAL_118391,Jams (Total),vatable
TOTAL_118392,Fruit jellies (Total),vatable
TOTAL_118393,Marmalades (Total),vatable
TOTAL_118390,"Other jams, fruit jellies and marmalades (Total)",vatable
TOTAL_118394,Fruit purÃ©e and pastes (Total),vatable
TOTAL_118410,Peanut butter (Total),vatable
TOTAL_118490,"Other nut butter, such as: almond butter, cashew butter, hazelnut butter, macadamia nut butter, pecan butter, pistachio butter and walnut butter (Total)",vatable
TOTAL_118510,"Chocolate, including white chocolate (Total)",vatable
TOTAL_118520,Cocoa beans (Total),vatable
TOTAL_118530,Cocoa powder (Total),vatable
TOTAL_118590,Other cocoa-based foods and cocoa-based dessert preparations (Total),vatable
TOTAL_118601,Ice cream (Total),vatable
TOTAL_118604,Edible ice (Total),vatable
TOTAL_118609,"Other ice, ice cream and sorbet (sorbet, frozen yoghurt, etc.) (Total)",vatable
TOTAL_118910,"Vegetables, fruits, nuts, fruit-peel and other parts of plants, preserved by sugar (bukayo, etc.) (Total)",vatable
TOTAL_118990,"Other sugar confectionery and desserts (not containing cocoa) (chewing gums, candies, etc.) (Total)",vatable
TOTAL_119110,Pre-cooked dishes based on pasta and cereals (Total),vatable
TOTAL_119120,Pre-cooked dishes based on meat and/or fish (Total),vatable
TOTAL_119130,Composed salads and prepared dishes based on vegetables (Total),vatable
TOTAL_119140,"Sandwiches, pizzas, quiches, meat or fish pies, frozen or not (Total)",vatable
TOTAL_119190,Other prepared ready-made dishes and meals n.e.c. (Total),vatable
TOTAL_119150,"Omelettes, crepes and other ready-made food based on eggs (Total)",vatable
TOTAL_119160,Ready-made soups (Total),vatable
TOTAL_119210,Baby formula (milk for baby use) (Total),vatable
TOTAL_119220,Baby rice cereals and flours for baby meals (Total),vatable
TOTAL_119290,"Other baby food (baby cookies, etc.) (Total)",vatable
TOTAL_119230,Homogenized baby food (Total),vatable
TOTAL_119311,Rock salt (Total),vatable
TOTAL_119312,Iodized salt (Total),vatable
TOTAL_119324,Sugarcane vinegar (Total),vatable
TOTAL_119327,Apple cider vinegar (Total),vatable
TOTAL_119329,Other vinegar and substitutes (Total),vatable
TOTAL_119321,Coco vinegar (Total),vatable
TOTAL_119322,Pineapple vinegar (Total),vatable
TOTAL_119323,Palm vinegar (Total),vatable
TOTAL_119325,Lanzones vinegar (Total),vatable
TOTAL_119326,Rice vinegar (Total),vatable
TOTAL_119391,Soya (soybean) sauce (Total),vatable
TOTAL_119392,Tomato ketchup and other tomato sauces (Total),vatable
TOTAL_119394,Banana catsup (Total),vatable
TOTAL_119395,Salad dressing and mayonnaise (Total),vatable
TOTAL_119396,Fish sauce (Patis) (Total),vatable
TOTAL_119399,"Other sauces and condiments (flavor seasoning, lechon sauce, oyster sauce,coconut milk for cooking, etc.) (Total)",vatable
TOTAL_119401,Pepper (Total),vatable
TOTAL_119402,"Chillies and peppers, dry (Total)",vatable
TOTAL_119403,Ginger (Total),vatable
TOTAL_119404,Monosodium glutamate (Vetsin) (Total),vatable
TOTAL_119407,Bay leaves (laurel) (Total),vatable
TOTAL_119409,"Other spices, culinary herbs and seed (thyme, saffron, cumin, etc.) (Total)",vatable
TOTAL_119900,"Other food products n.e.c. (bakers yeast, boullion, ready-mixed soups, etc.) (Total)",vatable
TOTAL_121011,"Pineapple juice, powder (Total)",vatable
TOTAL_121012,"Orange juice, powder (Total)",vatable
TOTAL_121013,"Mango juice, powder (Total)",vatable
TOTAL_121017,"Calamansi juice, powder (Total)",vatable
TOTAL_121019,"Other fruit and vegetables juices, powder,n.e.c. (Total)",vatable
TOTAL_121016,"Grapefruit juice, powder (Total)",vatable
TOTAL_121018,"Tomato juice, powder (Total)",vatable
TOTAL_121014,"Guyabano juice, powder (Total)",vatable
TOTAL_121015,"Apple juice, powder (Total)",vatable
TOTAL_129021,Pineapple juice (Total),vatable
TOTAL_129022,Orange juice (Total),vatable
TOTAL_129023,Mango juice (Total),vatable
TOTAL_129027,Calamansi juice (Total),vatable
TOTAL_129029,"Other concentrates and ready to drink juices, n.e.c. (Total)",vatable
TOTAL_129026,Grapefruit juice (Total),vatable
TOTAL_129028,Tomato juice (Total),vatable
TOTAL_129024,Guyabano juice (Total),vatable
TOTAL_129025,Apple juice (Total),vatable
TOTAL_122011,Coffee instant (Total),vatable
TOTAL_122012,Coffee roasted or ground (Total),vatable
TOTAL_122020,"Coffee substitutes (rice coffee, corn coffee, etc.) (Total)",vatable
TOTAL_122090,Other coffee (Total),vatable
TOTAL_123010,"Green tea, leaves (Total)",vatable
TOTAL_123020,"Black tea, leaves (Total)",vatable
TOTAL_123030,Iced tea (Total),vatable
TOTAL_123041,Salabat powder (Total),vatable
TOTAL_123042,Malunggay powder (Total),vatable
TOTAL_123090,Other tea products and plant products for infusion (Total),vatable
TOTAL_124001,"Cocoa, powdered (Total)",vatable
TOTAL_124002,"Cocoa, processed (Total)",vatable
TOTAL_124003,Cocoa-based beverage preparations (Total),vatable
TOTAL_125001,Mineral waters (Total),vatable
TOTAL_125009,"Other water, n.e.c. (Total)",vatable
TOTAL_126000,Soft drinks (Total),vatable
TOTAL_129001,Aloe vera juice (Total),vatable
TOTAL_129009,"Other non-alcoholic beverages (flavored water, energy drinks, energy supplement, etc.) (Total)",vatable
TOTAL_1111101,Restaurant (Total),vatable
TOTAL_1111102,Cafes (Total),vatable
TOTAL_1111103,"Hotels, if food and beverages are separately invoiced (Total)",vatable
TOTAL_1111109,"Other establishments providing food and beverage in full service, n.e.c._________ (Total)",vatable
TOTAL_1111104,"Other accommodation establishments, if separately invoiced from accommodation (Total)",vatable
TOTAL_1111105,"Establishments providing recreational, cultural, sporting or entertainment services (e.g. theatres, cinemas, sports stadiums, swimming pools, sports complexes, museums, art galleries, nightclubs, dancing establishments and similar facilities) (Total)",vatable
TOTAL_1111106,Shisha lounge and the like with full service (Total),vatable
TOTAL_1111201,Self service restaurant and cafes (Total),vatable
TOTAL_1111202,"Refreshment stands, fish and chip stands, fast-food outlet (Total)",vatable
TOTAL_1111203,"Kiosks, food stalls, and food carts (Total)",vatable
TOTAL_1111206,Catering contractors whether collected by the customer or delivered to the customerâs home (Total),vatable
TOTAL_1111209,"Other food and beverage services provided in limited service, n.e.c.___________ (Total)",vatable
TOTAL_1111204,Ice cream parlors and cake serving places (Total),vatable
TOTAL_1111205,"Public transport (coaches, trains, boats, airplanes, etc.) (Total)",vatable
TOTAL_1111207,Shisha lounge and the like with limited service (Total),vatable
TOTAL_1112100,"Canteens, cafeterias of universities, schools, and kindergartens (Total)",vatable
TOTAL_1112900,"Other canteens, cafeterias and refectories (e.g., work/office premises, military masses/wardrooms, etc.)____________ (Total)",vatable
TOTAL_211001,Whisky (Total),vatable
TOTAL_211002,Rum (Total),vatable
TOTAL_211003,Gin (Total),vatable
TOTAL_211004,Brandy (Total),vatable
TOTAL_211005,"Vodka (lambanog, etc.) (Total)",vatable
TOTAL_211009,"Other spirits and liquors, n.e.c. (Total)",vatable
TOTAL_211006,Tequila (Total),vatable
TOTAL_212101,Champagne and sparkling wines (Total),vatable
TOTAL_212102,Wine from grapes other than champagne and sparkling wine (Total),vatable
TOTAL_212201,Tuba (palm) wine (Total),vatable
TOTAL_212202,Basi wine (Total),vatable
TOTAL_212207,Lambanog wine (Total),vatable
TOTAL_212209,"Other wine from other sources (e.g. medicinal wine (sioktong), duhat (plum) wine , bignay/bugnay (wild berry wine), strawberry wine, raisin wine, duhat wine, etc.) (Total)",vatable
TOTAL_212203,Mango wine (Total),vatable
TOTAL_212204,"Wine based aperitifs (ube wine, rice wine (sake), kasuy (cashew) wine, etc.) (Total)",vatable
TOTAL_212205,Cider and perry (Total),vatable
TOTAL_212206,Fortified wines (Total),vatable
TOTAL_212208,Calamansi wine (Total),vatable
TOTAL_213000,Beer (Total),vatable
TOTAL_219001,"Mixed alcohol-based drinks (gin pomelo, shandy, cola beer) (Total)",vatable
TOTAL_219009,"Other alcoholic beverages, n.e.c. (Total)",vatable
TOTAL_230100,Cigarettes (Total),vatable
TOTAL_230200,Cigars (Total),vatable
TOTAL_230901,Pipe tobacco sniff/snuff tobacco (Total),vatable
TOTAL_230902,Chewing tobacco (Total),vatable
TOTAL_230905,Electronic cigarette refills (Total),vatable
TOTAL_230909,"Other tobacco products, n.e.c. (pipe tobacco, tobacco leaves, etc.) (Total)",vatable
TOTAL_240020,"Other vegetables based products (betel leaves, betel nuts, etc.) (Total)",vatable
TOTAL_130001,Services for processing primary goods for food (Total),vatable
TOTAL_130002,Services for processing non-alcoholic beverages (Total),vatable
TOTAL_220000,Alcohol production services (Total),vatable
TOTAL_311000,Clothing materials (Total),vatable
TOTAL_312101,"Pants, shorts (Total)",vatable
TOTAL_312102,"T-shirts, polo shirts, undershirts, camisa tsino (Total)",vatable
TOTAL_312103,"Underwear (supporter, brief, etc.) (Total)",vatable
TOTAL_312104,"Socks, sports socks (Total)",vatable
TOTAL_312105,"Suits, coats, jackets, raincoats, sweater, capes and trousers (Total)",vatable
TOTAL_312106,"Track suits, swimwear, jogging suits, sweatshirts (Total)",vatable
TOTAL_312109,"Other garments for men or boys, n.e.c. ___________ (Total)",vatable
TOTAL_312201,"Dress, suits (Total)",vatable
TOTAL_312202,"Pants, shorts, skirts (Total)",vatable
TOTAL_312203,"Blouses, t-shirts (Total)",vatable
TOTAL_312204,"Underwear (panties, chemise (kamison), bra, half slip, girdles, etc.) (Total)",vatable
